Wins,Deck,Pilot
12,Gruul Aggro,Javier Dominguez
11,Bant Golos,Jean-emmanuel Depraz
10,Bant Food,Andrea Mengucci
10,Bant Ramp,Stanislav Cifka
10,Simic Food,William Jensen
10,Mardu Knights,Ken Yukuhiro
10,Simic Food,Gabriel Nassif
10,Mono-Red Cavalcade,Lee Shi Tian
9,Four-Color Golos,Kenji Egashira
8,Bant Golos,John Rolf
8,Bant Golos,Lucas Esper Berthoud
8,Bant Golos,Matthew Nass
8,Bant Golos,Mike Sigrist
8,Golos Fires,Theo Moutier
7,Bant Food,Marcio Carvalho
7,Bant Golos,Sebastian Pozzo
7,Golos Fires,Autumn Burchett
7,Simic Food,Chris Kvartek
7,Simic Food,Mikel Diez
7,Simic Food,Shahar Shenhar
6,Bant Golos,Alexander Hayne
6,Bant Ramp,Martin Juza
6,Bant Ramp,Ondrej Strasky
6,Selesnya Adventure,Christian Hauck
4,Bant Golos,Brad Nelson
4,Bant Golos,Carlos Romao
4,Bant Golos,Mikaela Downs
4,Bant Golos,Ole Andvik
4,Bant Golos,Patrick Fernandes
4,Bant Ramp,Grzegorz Kowalski
4,Golos Fires,David Williams
4,Jund Midrange,Caleb Durward
4,Mardu Knights,Eric Froehlich
4,Simic Food,Andrew Cuneo
3,Bant Golos,Bertrand Fagnoni
3,Bant Golos,Jacob Crook
3,Bant Golos,Seth Manfield
3,Golgari Adventure,Ashley Munoz
3,Golgari Adventure,Piotr Glogowski
3,Golos Fires,Aaron Barich
3,Gruul Aggro,Breanna Lee Tan
3,Jeskai Fires,Janne Mikkonen
3,Selesnya Adventure,Mark Donaldson
3,Simic Food,Kai Budde
3,Simic Food,Yuuki Ichikawa
2,Bant Golos,Brian Braun-duin
2,Bant Golos,Jeremy Bowers
2,Bant Ramp,Oliver Tiu
2,Golgari Adventure,Luis Salvatto
2,Golgari Adventure,Matias Alfredo Leveratto
2,Golgari Adventure,Takeshi Senoo
2,Golos Fires,Ethan Neubert
2,Selesnya Adventure,Stephan Schwarz
2,Simic Food,Reid Duke
2,Simic Food,Shota Yasooka
1,Bant Food,Jessica Estephan
1,Bant Golos,Dzianis Parkhats
1,Bant Golos,Greg Orange
1,Bant Golos,Jan-philipp Budde
1,Bant Golos,Joao Lucas Caparroz
1,Bant Golos,Paulo Vitor Damo Da Rosa
1,Golgari Adventure,Raphael Levy
1,Gruul Aggro,Gustavo Coraiola
1,Simic Food,Rei Sato
0,Bant Golos,Grace Naces
0,Gruul Aggro,Gaby Spartz
0,Mardu Knights,Ben Stark
0,Rakdos Sacrifice,Miguel Da Cruz Simoes
